Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR204881,2012-12-05,2012-12-05,27212079,4081811850,27212079,150,2685,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR204881,ERX179608,NA07000.1.M_120209_2 extract,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,280,0,ILLUMINA,Illumina HiSeq 2000,ERP001942,PRJEB3366,,204869,ERS185262,SAMEA1573535,simple,9606,Homo sapiens,GEUV:NA07000,,,,,,,no,,,,,University of Geneva,ERA177032,,public,1D2703C1C8ED0422D87E4FED728B3846,9CCAEFED420181AAEF1D1BCEF24EC136
ERR204914,2012-12-05,2012-12-05,13096628,1964494200,13096628,150,1282,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR204914,ERX179595,HG00143.1.M_120209_7 extract,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,280,0,ILLUMINA,Illumina HiSeq 2000,ERP001942,PRJEB3366,,204869,ERS185423,SAMEA1573136,simple,9606,Homo sapiens,GEUV:HG00143,,,,,,,no,,,,,University of Geneva,ERA177032,,public,BD7A4BE72BCAAF1110DE0E1593A628E1,D93EB06CE472B2DB2FEAD52C4DCB3D99
ERR204917,2013-02-21,2013-02-21,19524803,2928720450,19524803,150,1907,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR204917,ERX179619,NA19141.1.M_120209_1 extract,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,280,0,ILLUMINA,Illumina HiSeq 2000,ERP001942,PRJEB3366,,204869,ERS185434,SAMEA1573246,simple,9606,Homo sapiens,GEUV:NA19141,,,,,,,no,,,,,University of Geneva,ERA177032,,public,D07A80FFD92AAF66111BF6B05117CC64,4F09722D4A9E6D4885708A9B720615BC
ERR204919,2012-12-05,2012-12-05,17545420,2631813000,17545420,150,1729,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR204919,ERX179644,NA18907.1.M_120209_1 extract,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,280,0,ILLUMINA,Illumina HiSeq 2000,ERP001942,PRJEB3366,,204869,ERS185049,SAMEA1573179,simple,9606,Homo sapiens,GEUV:NA18907,,,,,,,no,,,,,University of Geneva,ERA177032,,public,A0B601745EF6B2E5B478D546DDD8B0D1,45D29A0005F631DE96CC20EDF2C1F234
ERR204923,2013-02-21,2013-02-21,21512052,3226807800,21512052,150,2065,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR204923,ERX179507,NA19214.1.M_120209_7 extract,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,280,0,ILLUMINA,Illumina HiSeq 2000,ERP001942,PRJEB3366,,204869,ERS185145,SAMEA1573154,simple,9606,Homo sapiens,GEUV:NA19214,,,,,,,no,,,,,University of Geneva,ERA177032,,public,EEFC832824AB1924013FAE809DCE0D60,6E38680FE40E04B94BA4701FBDC9306A
ERR204924,2012-12-05,2012-12-05,16108081,2416212150,16108081,150,1515,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR204924,ERX179574,NA12045.1.M_120209_3 extract,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,280,0,ILLUMINA,Illumina HiSeq 2000,ERP001942,PRJEB3366,,204869,ERS185387,SAMEA1573125,simple,9606,Homo sapiens,GEUV:NA12045,,,,,,,no,,,,,University of Geneva,ERA177032,,public,5BB4C41C32E9EFA40802F714EF31B206,50045EE45DC200B1B5ECDC98E07B77CE
ERR204931,2012-12-05,2012-12-05,22806001,3420900150,22806001,150,2181,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR204931,ERX179629,NA11831.1.M_120209_5 extract,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,280,0,ILLUMINA,Illumina HiSeq 2000,ERP001942,PRJEB3366,,204869,ERS185295,SAMEA1573247,simple,9606,Homo sapiens,GEUV:NA11831,,,,,,,no,,,,,University of Geneva,ERA177032,,public,9C5EDB89E03CE48759C30BA5C89B4502,9CEA48D5158FFC3FE79D60EAEBE9C2FD
ERR204949,2012-12-05,2012-12-05,13825715,2073857250,13825715,150,1353,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR204949,ERX179632,NA18489.1.M_120209_8 extract,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,280,0,ILLUMINA,Illumina HiSeq 2000,ERP001942,PRJEB3366,,204869,ERS185268,SAMEA1573135,simple,9606,Homo sapiens,GEUV:NA18489,,,,,,,no,,,,,University of Geneva,ERA177032,,public,289A47AF57EF0CC7333C2C9ACE6EE6DF,AF8DF82DCBC5C1157CEFF1DF8E92E8AF
ERR204932,2012-12-05,2012-12-05,16095993,2414398950,16095993,150,1532,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR204932,ERX179627,NA12006.1.M_120209_5 extract,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,280,0,ILLUMINA,Illumina HiSeq 2000,ERP001942,PRJEB3366,,204869,ERS185344,SAMEA1573110,simple,9606,Homo sapiens,GEUV:NA12006,,,,,,,no,,,,,University of Geneva,ERA177032,,public,1891BDC5DE7CAED7FD471FC8FCA3A330,A8D318E02BC3331D81A97653B67C5935
ERR204935,2012-12-05,2012-12-05,21163421,3174513150,21163421,150,2074,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR204935,ERX179625,HG00375.1.M_120209_2 extract,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,280,0,ILLUMINA,Illumina HiSeq 2000,ERP001942,PRJEB3366,,204869,ERS185222,SAMEA1573485,simple,9606,Homo sapiens,GEUV:HG00375,,,,,,,no,,,,,University of Geneva,ERA177032,,public,672D2EBEEB385192693D9205C9E631CB,4D7BCD1C9481C7D55C558B6861B2831D
