BioSample_s	Center_Name_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	population_s	Assay_Type_s	AssemblyName_s	BioProject_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	Strain_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMEA1573481	Max Planck Institute for Molecular Genetics	ERX162712	NA20535.3.M_120202_2 extract	2012-11-07	3651	2577	2012-11-07	ERR188398	ERS185022	GEUV:NA20535	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573189	Max Planck Institute for Molecular Genetics	ERX162762	NA20760.3.M_120202_5 extract	2012-11-06	2691	1878	2012-11-06	ERR188110	ERS185023	GEUV:NA20760	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573171	Institute of Clinical Molecular Biology, University of Kiel, Germany	ERX162790	NA20808.4.M_120208_6 extract	2012-11-07	3875	2745	2012-11-07	ERR188253	ERS185024	GEUV:NA20808	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573153	Max Planck Institute for Molecular Genetics	ERX162711	HG01790.3.M_120202_3 extract	2012-11-07	1811	1270	2012-11-07	ERR188407	ERS185025	GEUV:HG01790	GBR	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573165	University of Geneva	ERX163097	NA12383.1.M_111124_3 extract	2012-11-07	3939	2923	2012-11-07	ERR188396	ERS185026	GEUV:NA12383	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573142	University of Geneva	ERX179630	HG00349.1.M_120209_4 extract	2012-12-05	2685	1817	2012-12-05	ERR204857	ERS185027	GEUV:HG00349	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573142	Institute of Clinical Molecular Biology, University of Kiel, Germany	ERX163028	HG00349.4.M_120208_4 extract	2012-11-06	3736	2617	2012-11-06	ERR188075	ERS185027	GEUV:HG00349	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573134	University of Geneva	ERX179610	NA18909.1.M_120209_8 extract	2012-12-05	2208	1503	2012-12-05	ERR204896	ERS185028	GEUV:NA18909	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573333	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	ERX162755	NA20795.5.M_120131_1 extract	2012-11-06	5212	3536	2012-11-06	ERR188384	ERS185030	GEUV:NA20795	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573479	University of Geneva	ERX163154	HG00326.1.M_111124_7 extract	2012-11-07	4668	3227	2012-11-07	ERR188418	ERS185036	GEUV:HG00326	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573493	Max Planck Institute for Molecular Genetics	ERX163088	HG00135.3.M_120202_8 extract	2012-11-07	2096	1495	2012-11-07	ERR188133	ERS185033	GEUV:HG00135	GBR	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573112	Institute of Clinical Molecular Biology, University of Kiel, Germany	ERX162869	NA12044.4.M_120208_8 extract	2012-11-07	4312	3081	2012-11-07	ERR188229	ERS185029	GEUV:NA12044	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573526	University of Geneva	ERX163008	NA20506.1.M_120209_2 extract	2012-11-07	3445	2374	2012-11-07	ERR188254	ERS185032	GEUV:NA20506	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573470	Centre for Genomic Regulation, Barcelona	ERX162855	NA19095.2.M_120131_2 extract	2012-11-07	6098	4195	2012-11-07	ERR188268	ERS185037	GEUV:NA19095	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573463	Centre for Genomic Regulation, Barcelona	ERX162796	HG00116.2.M_120131_1 extract	2012-11-07	4046	2757	2012-11-07	ERR188293	ERS185035	GEUV:HG00116	GBR	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573516	University of Geneva	ERX162976	NA07056.1.M_111124_3 extract	2012-11-07	4136	3066	2012-11-07	ERR188027	ERS185031	GEUV:NA07056	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573506	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	ERX162935	HG00238.5.M_120131_5 extract	2012-11-07	4303	2936	2012-11-07	ERR188333	ERS185034	GEUV:HG00238	GBR	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573134	Institute of Clinical Molecular Biology, University of Kiel, Germany	ERX163100	NA18909.4.M_120208_8 extract	2012-11-07	4014	2871	2012-11-07	ERR188352	ERS185028	GEUV:NA18909	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573470	Institute of Clinical Molecular Biology, University of Kiel, Germany	ERX179544	NA19095.4.M_120208_2 extract	2013-02-25	2959	2034	2013-02-25	ERR204930	ERS185037	GEUV:NA19095	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573470	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	ERX179672	NA19095.5.M_120131_5 extract	2013-02-22	4395	2959	2013-02-22	ERR204843	ERS185037	GEUV:NA19095	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573470	University of Geneva	ERX179601	NA19095.1.M_120209_1 extract	2013-02-22	4556	3146	2013-02-22	ERR204858	ERS185037	GEUV:NA19095	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573470	Max Planck Institute for Molecular Genetics	ERX179525	NA19095.3.M_120202_1 extract	2013-02-22	2770	1910	2013-02-22	ERR204861	ERS185037	GEUV:NA19095	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573470	University of Geneva	ERX179535	NA19095.1.M_111124_8 extract	2013-02-23	4562	3357	2013-02-23	ERR204868	ERS185037	GEUV:NA19095	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573470	Leiden University Medical Center	ERX179567	NA19095.7.M_120219_8 extract	2013-02-22	3527	2539	2013-02-22	ERR204891	ERS185037	GEUV:NA19095	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573208	Centre for Genomic Regulation, Barcelona	ERX162751	HG00255.2.M_111216_1 extract	2012-11-06	4454	3262	2012-11-06	ERR188111	ERS185046	GEUV:HG00255	GBR	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573282	Centre for Genomic Regulation, Barcelona	ERX162782	NA12750.2.M_111216_2 extract	2012-11-07	4088	2965	2012-11-07	ERR188404	ERS185058	GEUV:NA12750	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573530	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	ERX162784	HG00268.5.M_120131_3 extract	2012-11-07	4276	2925	2012-11-07	ERR188117	ERS185078	GEUV:HG00268	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573367	Max Planck Institute for Molecular Genetics	ERX163089	NA19197.3.M_120202_2 extract	2012-11-07	2886	2032	2012-11-07	ERR188129	ERS185054	GEUV:NA19197	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573270	Max Planck Institute for Molecular Genetics	ERX163000	NA12348.3.M_120202_6 extract	2012-11-07	2026	1390	2012-11-07	ERR188441	ERS185040	GEUV:NA12348	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573238	University of Geneva	ERX163050	NA18499.1.M_111124_2 extract	2012-11-07	4600	3278	2012-11-07	ERR188449	ERS185044	GEUV:NA18499	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573242	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	ERX163058	NA12154.5.M_120131_3 extract	2012-11-07	3807	2603	2012-11-07	ERR188172	ERS185043	GEUV:NA12154	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573224	Leiden University Medical Center	ERX162847	HG01334.7.M_120219_8 extract	2012-11-07	5943	4232	2012-11-07	ERR188469	ERS185045	GEUV:HG01334	GBR	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573187	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	ERX163056	HG00378.5.M_120131_5 extract	2012-11-07	4917	3344	2012-11-07	ERR188472	ERS185047	GEUV:HG00378	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
