Experiment	center	population
ERX162712	ERX162712	Max Planck Institute for Molecular Genetics	TSI
ERX162762	ERX162762	Max Planck Institute for Molecular Genetics	TSI
ERX162790	ERX162790	Institute of Clinical Molecular Biology, University of Kiel, Germany	TSI
ERX162711	ERX162711	Max Planck Institute for Molecular Genetics	GBR
ERX163097	ERX163097	University of Geneva	CEU
ERX179630	ERX179630	University of Geneva	FIN
ERX163028	ERX163028	Institute of Clinical Molecular Biology, University of Kiel, Germany	FIN
ERX179610	ERX179610	University of Geneva	YRI
ERX162755	ERX162755	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	TSI
ERX163154	ERX163154	University of Geneva	FIN
ERX163088	ERX163088	Max Planck Institute for Molecular Genetics	GBR
ERX162869	ERX162869	Institute of Clinical Molecular Biology, University of Kiel, Germany	CEU
ERX163008	ERX163008	University of Geneva	TSI
ERX162855	ERX162855	Centre for Genomic Regulation, Barcelona	YRI
ERX162796	ERX162796	Centre for Genomic Regulation, Barcelona	GBR
ERX162976	ERX162976	University of Geneva	CEU
ERX162935	ERX162935	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	GBR
ERX163100	ERX163100	Institute of Clinical Molecular Biology, University of Kiel, Germany	YRI
ERX179544	ERX179544	Institute of Clinical Molecular Biology, University of Kiel, Germany	YRI
ERX179672	ERX179672	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	YRI
ERX179601	ERX179601	University of Geneva	YRI
ERX179525	ERX179525	Max Planck Institute for Molecular Genetics	YRI
ERX179535	ERX179535	University of Geneva	YRI
ERX179567	ERX179567	Leiden University Medical Center	YRI
ERX162751	ERX162751	Centre for Genomic Regulation, Barcelona	GBR
ERX162782	ERX162782	Centre for Genomic Regulation, Barcelona	CEU
ERX162784	ERX162784	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	FIN
ERX163089	ERX163089	Max Planck Institute for Molecular Genetics	YRI
ERX163000	ERX163000	Max Planck Institute for Molecular Genetics	CEU
ERX163050	ERX163050	University of Geneva	YRI
ERX163058	ERX163058	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	CEU
ERX162847	ERX162847	Leiden University Medical Center	GBR
ERX163056	ERX163056	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	FIN
ERX162835	ERX162835	Leiden University Medical Center	YRI
ERX162750	ERX162750	University of Geneva	CEU
ERX163082	ERX163082	Max Planck Institute for Molecular Genetics	TSI
ERX162761	ERX162761	Centre for Genomic Regulation, Barcelona	TSI
ERX162756	ERX162756	Centre for Genomic Regulation, Barcelona	FIN
ERX162943	ERX162943	University of Geneva	CEU
ERX163085	ERX163085	Centre for Genomic Regulation, Barcelona	CEU
ERX162723	ERX162723	Centre for Genomic Regulation, Barcelona	CEU
ERX162995	ERX162995	Centre for Genomic Regulation, Barcelona	CEU
ERX162797	ERX162797	Uppsala University	YRI
ERX162910	ERX162910	University of Geneva	FIN
ERX162736	ERX162736	Centre for Genomic Regulation, Barcelona	CEU
ERX162715	ERX162715	University of Geneva	GBR
ERX162770	ERX162770	Institute of Clinical Molecular Biology, University of Kiel, Germany	GBR
ERX163009	ERX163009	University of Geneva	TSI
ERX162953	ERX162953	Max Planck Institute for Molecular Genetics	TSI
ERX179644	ERX179644	University of Geneva	YRI
ERX179616	ERX179616	University of Geneva	CEU
ERX179576	ERX179576	University of Geneva	CEU
ERX179521	ERX179521	Uppsala University	YRI
ERX179643	ERX179643	University of Geneva	YRI
ERX179691	ERX179691	University of Geneva	YRI
ERX179640	ERX179640	University of Geneva	FIN
