LibraryName	cell_cycle_stage	cell
G2M_cell17	G2M_cell17	G2M	cell17
S_cell5	S_cell5	S	cell5
S_cell16	S_cell16	S	cell16
S_cell50	S_cell50	S	cell50
S_cell37	S_cell37	S	cell37
G1_cell13	G1_cell13	G1	cell13
G2M_cell18	G2M_cell18	G2M	cell18
S_cell55	S_cell55	S	cell55
G1_cell90	G1_cell90	G1	cell90
G1_cell80	G1_cell80	G1	cell80
G2M_cell88	G2M_cell88	G2M	cell88
G2M_cell1	G2M_cell1	G2M	cell1
G1_cell66	G1_cell66	G1	cell66
G2M_cell21	G2M_cell21	G2M	cell21
S_cell52	S_cell52	S	cell52
G2M_cell35	G2M_cell35	G2M	cell35
G2M_cell76	G2M_cell76	G2M	cell76
G1_cell24	G1_cell24	G1	cell24
G2M_cell31	G2M_cell31	G2M	cell31
S_cell36	S_cell36	S	cell36
S_cell6	S_cell6	S	cell6
G2M_cell43	G2M_cell43	G2M	cell43
G1_cell33	G1_cell33	G1	cell33
G1_cell68	G1_cell68	G1	cell68
G1_cell32	G1_cell32	G1	cell32
G2M_cell14	G2M_cell14	G2M	cell14
S_cell60	S_cell60	S	cell60
G1_cell47	G1_cell47	G1	cell47
S_cell68	S_cell68	S	cell68
G2M_cell85	G2M_cell85	G2M	cell85
G2M_cell80	G2M_cell80	G2M	cell80
G2M_cell86	G2M_cell86	G2M	cell86
S_cell56	S_cell56	S	cell56
G2M_cell87	G2M_cell87	G2M	cell87
G1_cell67	G1_cell67	G1	cell67
S_cell23	S_cell23	S	cell23
G2M_cell44	G2M_cell44	G2M	cell44
G1_cell75	G1_cell75	G1	cell75
G1_cell63	G1_cell63	G1	cell63
S_cell81	S_cell81	S	cell81
G1_cell95	G1_cell95	G1	cell95
S_cell79	S_cell79	S	cell79
G2M_cell83	G2M_cell83	G2M	cell83
G2M_cell4	G2M_cell4	G2M	cell4
G1_cell1	G1_cell1	G1	cell1
G2M_cell62	G2M_cell62	G2M	cell62
G1_cell61	G1_cell61	G1	cell61
G1_cell36	G1_cell36	G1	cell36
G1_cell40	G1_cell40	G1	cell40
S_cell64	S_cell64	S	cell64
G2M_cell51	G2M_cell51	G2M	cell51
S_cell59	S_cell59	S	cell59
S_cell90	S_cell90	S	cell90
S_cell4	S_cell4	S	cell4
G2M_cell22	G2M_cell22	G2M	cell22
S_cell93	S_cell93	S	cell93
