Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[single cell well quality]	Material Type	Characteristics[cell]	Characteristics[organism]	Characteristics[organism part]	Characteristics[individual]	Characteristics[developmental stage]	Characteristics[treatment]	Characteristics[phenotype]	Characteristics[inferred lineage]	Characteristics[inferred trophectoderm subpopulation]	Characteristics[inferred pseudo-time]	Protocol REF	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[cell]
E3.1.443	ERS887923	SAMEA3580774	OK	cell	1	Homo sapiens	embryo	E3.1	embryonic day 3	No	not applicable	not applicable	not applicable	1.750294229	P-MTAB-46795	P-MTAB-46796	Sophie Petropolous	E3.1.443	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-46797	Sophie Petropolous	E3.1.443	sequencing assay	ERX1120885	E3.1.443.fastq.gz	E3.1.443.fastq.gz	ERR1041403	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/003/ERR1041403/ERR1041403.fastq.gz	P-MTAB-46798	rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.2.zip	P-MTAB-46799	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.1.zip	P-MTAB-46800	ercc.rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.4.zip	P-MTAB-46801	ercc.counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.3.zip	1
E3.1.444	ERS887924	SAMEA3580775	OK	cell	2	Homo sapiens	embryo	E3.1	embryonic day 3	No	not applicable	not applicable	not applicable	1.81878076	P-MTAB-46795	P-MTAB-46796	Sophie Petropolous	E3.1.444	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-46797	Sophie Petropolous	E3.1.444	sequencing assay	ERX1120886	E3.1.444.fastq.gz	E3.1.444.fastq.gz	ERR1041404	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/004/ERR1041404/ERR1041404.fastq.gz	P-MTAB-46798	rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.2.zip	P-MTAB-46799	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.1.zip	P-MTAB-46800	ercc.rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.4.zip	P-MTAB-46801	ercc.counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.3.zip	2
E3.1.445	ERS887925	SAMEA3580776	OK	cell	3	Homo sapiens	embryo	E3.1	embryonic day 3	No	not applicable	not applicable	not applicable	1.589196521	P-MTAB-46795	P-MTAB-46796	Sophie Petropolous	E3.1.445	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-46797	Sophie Petropolous	E3.1.445	sequencing assay	ERX1120887	E3.1.445.fastq.gz	E3.1.445.fastq.gz	ERR1041405	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/005/ERR1041405/ERR1041405.fastq.gz	P-MTAB-46798	rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.2.zip	P-MTAB-46799	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.1.zip	P-MTAB-46800	ercc.rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.4.zip	P-MTAB-46801	ercc.counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.3.zip	3
E3.1.447	ERS887926	SAMEA3580777	OK	cell	4	Homo sapiens	embryo	E3.1	embryonic day 3	No	not applicable	not applicable	not applicable	1.588967517	P-MTAB-46795	P-MTAB-46796	Sophie Petropolous	E3.1.447	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-46797	Sophie Petropolous	E3.1.447	sequencing assay	ERX1120888	E3.1.447.fastq.gz	E3.1.447.fastq.gz	ERR1041406	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/006/ERR1041406/ERR1041406.fastq.gz	P-MTAB-46798	rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.2.zip	P-MTAB-46799	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.1.zip	P-MTAB-46800	ercc.rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.4.zip	P-MTAB-46801	ercc.counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.3.zip	4
E3.1.448	ERS887927	SAMEA3580778	OK	cell	5	Homo sapiens	embryo	E3.1	embryonic day 3	No	not applicable	not applicable	not applicable	1.720047379	P-MTAB-46795	P-MTAB-46796	Sophie Petropolous	E3.1.448	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-46797	Sophie Petropolous	E3.1.448	sequencing assay	ERX1120889	E3.1.448.fastq.gz	E3.1.448.fastq.gz	ERR1041407	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/007/ERR1041407/ERR1041407.fastq.gz	P-MTAB-46798	rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.2.zip	P-MTAB-46799	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.1.zip	P-MTAB-46800	ercc.rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.4.zip	P-MTAB-46801	ercc.counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.3.zip	5
E3.2.449	ERS887928	SAMEA3580779	OK	cell	6	Homo sapiens	embryo	E3.2	embryonic day 3	No	not applicable	not applicable	not applicable	1.395316408	P-MTAB-46795	P-MTAB-46796	Sophie Petropolous	E3.2.449	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-46797	Sophie Petropolous	E3.2.449	sequencing assay	ERX1120890	E3.2.449.fastq.gz	E3.2.449.fastq.gz	ERR1041408	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/008/ERR1041408/ERR1041408.fastq.gz	P-MTAB-46798	rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.2.zip	P-MTAB-46799	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.1.zip	P-MTAB-46800	ercc.rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.4.zip	P-MTAB-46801	ercc.counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.3.zip	6
E3.2.450	ERS887929	SAMEA3580780	OK	cell	7	Homo sapiens	embryo	E3.2	embryonic day 3	No	not applicable	not applicable	not applicable	1.573177048	P-MTAB-46795	P-MTAB-46796	Sophie Petropolous	E3.2.450	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-46797	Sophie Petropolous	E3.2.450	sequencing assay	ERX1120891	E3.2.450.fastq.gz	E3.2.450.fastq.gz	ERR1041409	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/009/ERR1041409/ERR1041409.fastq.gz	P-MTAB-46798	rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.2.zip	P-MTAB-46799	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.1.zip	P-MTAB-46800	ercc.rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.4.zip	P-MTAB-46801	ercc.counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.3.zip	7
E3.2.452	ERS887930	SAMEA3580781	OK	cell	8	Homo sapiens	embryo	E3.2	embryonic day 3	No	not applicable	not applicable	not applicable	0.841532025	P-MTAB-46795	P-MTAB-46796	Sophie Petropolous	E3.2.452	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-46797	Sophie Petropolous	E3.2.452	sequencing assay	ERX1120892	E3.2.452.fastq.gz	E3.2.452.fastq.gz	ERR1041410	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/000/ERR1041410/ERR1041410.fastq.gz	P-MTAB-46798	rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.2.zip	P-MTAB-46799	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.1.zip	P-MTAB-46800	ercc.rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.4.zip	P-MTAB-46801	ercc.counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.3.zip	8
E3.2.453	ERS887931	SAMEA3580782	OK	cell	9	Homo sapiens	embryo	E3.2	embryonic day 3	No	not applicable	not applicable	not applicable	0.957083374	P-MTAB-46795	P-MTAB-46796	Sophie Petropolous	E3.2.453	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-46797	Sophie Petropolous	E3.2.453	sequencing assay	ERX1120893	E3.2.453.fastq.gz	E3.2.453.fastq.gz	ERR1041411	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/001/ERR1041411/ERR1041411.fastq.gz	P-MTAB-46798	rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.2.zip	P-MTAB-46799	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.1.zip	P-MTAB-46800	ercc.rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.4.zip	P-MTAB-46801	ercc.counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.3.zip	9
E3.2.454	ERS887932	SAMEA3580783	OK	cell	10	Homo sapiens	embryo	E3.2	embryonic day 3	No	not applicable	not applicable	not applicable	1.071237908	P-MTAB-46795	P-MTAB-46796	Sophie Petropolous	E3.2.454	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-46797	Sophie Petropolous	E3.2.454	sequencing assay	ERX1120894	E3.2.454.fastq.gz	E3.2.454.fastq.gz	ERR1041412	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/002/ERR1041412/ERR1041412.fastq.gz	P-MTAB-46798	rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.2.zip	P-MTAB-46799	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.1.zip	P-MTAB-46800	ercc.rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.4.zip	P-MTAB-46801	ercc.counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.3.zip	10
