Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR1042832,2016-04-09,2016-04-09,6809242,292797406,0,43,301,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1042832,ERX1122314,E7.8.350,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP012552,PRJEB11202,,317849,ERS889352,SAMEA3582203,simple,9606,Homo sapiens,human,,,,,,,no,,,,,Sophie Petropolous,ERA510323,,public,2DDDE11D9961968BB94A43D2257B6D52,1BD6196BE389C1EBD51F46061557DA99
ERR1042833,2016-04-09,2016-04-09,9671097,415857171,0,43,443,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1042833,ERX1122315,E7.9.531,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP012552,PRJEB11202,,317849,ERS889353,SAMEA3582204,simple,9606,Homo sapiens,human,,,,,,,no,,,,,Sophie Petropolous,ERA510323,,public,FCFF293713FEAFFFAA2D98AA6B1AF802,A012A1F298C595F176434527FF71280A
ERR1042834,2016-04-09,2016-04-09,7675376,330041168,0,43,351,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1042834,ERX1122316,E7.9.532,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP012552,PRJEB11202,,317849,ERS889354,SAMEA3582205,simple,9606,Homo sapiens,human,,,,,,,no,,,,,Sophie Petropolous,ERA510323,,public,BE974FF886753BFDF67DED353ABA707F,D2647B62781A729DC7B2E1513CA6E85F
ERR1042835,2016-04-09,2016-04-09,8553077,367782311,0,43,391,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1042835,ERX1122317,E7.9.534,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP012552,PRJEB11202,,317849,ERS889355,SAMEA3582206,simple,9606,Homo sapiens,human,,,,,,,no,,,,,Sophie Petropolous,ERA510323,,public,BC4348CF9AB454DC11D8C7B81EA15F1A,F5751858E26BE0D7F2DDE4B87DDA4F5F
ERR1042836,2016-04-09,2016-04-09,7941092,341466956,0,43,362,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1042836,ERX1122318,E7.9.535,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP012552,PRJEB11202,,317849,ERS889356,SAMEA3582207,simple,9606,Homo sapiens,human,,,,,,,no,,,,,Sophie Petropolous,ERA510323,,public,F327F1B7AF37235C726AD47012F4C729,DE4F02170A845F965D664A7C45D82C29
ERR1042837,2016-04-09,2016-04-09,9675938,416065334,0,43,444,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1042837,ERX1122319,E7.9.536,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP012552,PRJEB11202,,317849,ERS889357,SAMEA3582208,simple,9606,Homo sapiens,human,,,,,,,no,,,,,Sophie Petropolous,ERA510323,,public,9AC8D351A202F55285282C191409CCF3,CC09B11BFF0FD1CA7FFAA7E91B49F755
ERR1042838,2016-04-09,2016-04-09,9232282,396988126,0,43,421,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1042838,ERX1122320,E7.9.537,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP012552,PRJEB11202,,317849,ERS889358,SAMEA3582209,simple,9606,Homo sapiens,human,,,,,,,no,,,,,Sophie Petropolous,ERA510323,,public,6863C8F01FADE398691FAEC31BF9F299,0E80DD8C0C6850D694BEDE0AA34427FF
ERR1042839,2016-04-09,2016-04-09,6180910,265779130,0,43,288,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1042839,ERX1122321,E7.9.538,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP012552,PRJEB11202,,317849,ERS889359,SAMEA3582210,simple,9606,Homo sapiens,human,,,,,,,no,,,,,Sophie Petropolous,ERA510323,,public,455119942897CFD1B0FD59B7C859344B,1A6BCB57AFF8BE4894B72FC5AD1E0B27
ERR1042840,2016-04-09,2016-04-09,9948789,427797927,0,43,456,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1042840,ERX1122322,E7.9.539,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP012552,PRJEB11202,,317849,ERS889360,SAMEA3582211,simple,9606,Homo sapiens,human,,,,,,,no,,,,,Sophie Petropolous,ERA510323,,public,930B64FF041A5E2599E3E5792CB7FFBF,FC12C416490016AF492D1D2004A09C28
ERR1042841,2016-04-09,2016-04-09,9085414,390672802,0,43,419,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1042841,ERX1122323,E7.9.540,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP012552,PRJEB11202,,317849,ERS889361,SAMEA3582212,simple,9606,Homo sapiens,human,,,,,,,no,,,,,Sophie Petropolous,ERA510323,,public,52223BE5AABF004FF593A694FD237CD2,150F7EA23A8714EC79ABB7E5ECBCCD25
