Source.Name	Characteristics.individual.	Characteristics.organism.part.	Characteristics.developmental.stage.	Characteristics.treatment.
E3.1.443	E3.1.443	E3.1	embryo	embryonic day 3	No
E3.1.444	E3.1.444	E3.1	embryo	embryonic day 3	No
E3.1.445	E3.1.445	E3.1	embryo	embryonic day 3	No
E3.1.447	E3.1.447	E3.1	embryo	embryonic day 3	No
E3.1.448	E3.1.448	E3.1	embryo	embryonic day 3	No
E3.2.449	E3.2.449	E3.2	embryo	embryonic day 3	No
E3.2.450	E3.2.450	E3.2	embryo	embryonic day 3	No
E3.2.452	E3.2.452	E3.2	embryo	embryonic day 3	No
E3.2.453	E3.2.453	E3.2	embryo	embryonic day 3	No
E3.2.454	E3.2.454	E3.2	embryo	embryonic day 3	No
E3.2.455	E3.2.455	E3.2	embryo	embryonic day 3	No
E3.2.466	E3.2.466	E3.2	embryo	embryonic day 3	No
E3.2.467	E3.2.467	E3.2	embryo	embryonic day 3	No
E3.3.456	E3.3.456	E3.3	embryo	embryonic day 3	No
E3.3.457	E3.3.457	E3.3	embryo	embryonic day 3	No
E3.3.458	E3.3.458	E3.3	embryo	embryonic day 3	No
E3.3.459	E3.3.459	E3.3	embryo	embryonic day 3	No
E3.3.460	E3.3.460	E3.3	embryo	embryonic day 3	No
E3.4.462	E3.4.462	E3.4	embryo	embryonic day 3	No
E3.4.463	E3.4.463	E3.4	embryo	embryonic day 3	No
E3.4.465	E3.4.465	E3.4	embryo	embryonic day 3	No
E4.1.1	E4.1.1	E4.1	embryo	embryonic day 4	No
E4.1.2	E4.1.2	E4.1	embryo	embryonic day 4	No
E4.1.3	E4.1.3	E4.1	embryo	embryonic day 4	No
E4.1.4	E4.1.4	E4.1	embryo	embryonic day 4	No
E4.1.7	E4.1.7	E4.1	embryo	embryonic day 4	No
E4.10.1219	E4.10.1219	E4.10	embryo	embryonic day 4	No
E4.10.1221	E4.10.1221	E4.10	embryo	embryonic day 4	No
E4.10.1223	E4.10.1223	E4.10	embryo	embryonic day 4	No
E4.10.1225	E4.10.1225	E4.10	embryo	embryonic day 4	No
E4.10.1227	E4.10.1227	E4.10	embryo	embryonic day 4	No
E4.10.1228	E4.10.1228	E4.10	embryo	embryonic day 4	No
E4.10.1229	E4.10.1229	E4.10	embryo	embryonic day 4	No
E4.10.1230	E4.10.1230	E4.10	embryo	embryonic day 4	No
E4.10.1231	E4.10.1231	E4.10	embryo	embryonic day 4	No
E4.10.1232	E4.10.1232	E4.10	embryo	embryonic day 4	No
E4.10.1233	E4.10.1233	E4.10	embryo	embryonic day 4	No
E4.11.1258	E4.11.1258	E4.11	embryo	embryonic day 4	No
E4.2.10	E4.2.10	E4.2	embryo	embryonic day 4	No
