"Assay_Type_s","BioSample_s","Experiment_s","LibrarySelection_s","LibrarySource_s","LoadDate_s","MBases_l","MBytes_l","Organism_s","Run_s","SRA_Sample_s","Sample_Name_s","cell_type_s","ethnicity_s","source_name_s","strain_s","supplementary_file_s","AssemblyName_s","BioProject_s","Center_Name_s","Consent_s","InsertSize_l","LibraryLayout_s","Library_Name_s","Platform_s","ReleaseDate_s","SRA_Study_s","g1k_analysis_group_s","g1k_pop_code_s","source_s"
"RNA-Seq","SAMN01915415","SRX229784","cDNA","TRANSCRIPTOMIC","2015-09-04",2816,1980,"Mus musculus","SRR689233","SRS392196","GSM1080195","oocyte","<not provided>","oocyte","C57BL/6","<not provided>","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
"RNA-Seq","SAMN01915416","SRX229785","cDNA","TRANSCRIPTOMIC","2015-09-04",3475,2446,"Mus musculus","SRR689234","SRS392197","GSM1080196","oocyte","<not provided>","oocyte","C57BL/6","<not provided>","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
"RNA-Seq","SAMN01915417","SRX229786","cDNA","TRANSCRIPTOMIC","2015-09-04",2960,2077,"Mus musculus","SRR689235","SRS392198","GSM1080197","pronucleus","<not provided>","pronucleus","C57BL/6","<not provided>","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
"RNA-Seq","SAMN01915418","SRX229787","cDNA","TRANSCRIPTOMIC","2015-09-04",2190,1540,"Mus musculus","SRR689236","SRS392199","GSM1080198","pronucleus","<not provided>","pronucleus","C57BL/6","<not provided>","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
"RNA-Seq","SAMN01915419","SRX229788","cDNA","TRANSCRIPTOMIC","2015-09-04",2126,1493,"Mus musculus","SRR689237","SRS392200","GSM1080199","pronucleus","<not provided>","pronucleus","C57BL/6","<not provided>","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
"RNA-Seq","SAMN01915420","SRX229789","cDNA","TRANSCRIPTOMIC","2015-09-04",3651,2636,"Mus musculus","SRR689238","SRS392201","GSM1080200","2-cell blastomere","<not provided>","2-cell blastomere","C57BL/6","<not provided>","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
"RNA-Seq","SAMN01915421","SRX229790","cDNA","TRANSCRIPTOMIC","2015-09-04",4774,3437,"Mus musculus","SRR689239","SRS392202","GSM1080201","2-cell blastomere","<not provided>","2-cell blastomere","C57BL/6","<not provided>","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
"RNA-Seq","SAMN01915422","SRX229791","cDNA","TRANSCRIPTOMIC","2015-09-04",2050,1498,"Mus musculus","SRR689240","SRS392203","GSM1080202","2-cell blastomere","<not provided>","2-cell blastomere","C57BL/6","<not provided>","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
"RNA-Seq","SAMN01915423","SRX229792","cDNA","TRANSCRIPTOMIC","2015-09-04",4424,3219,"Mus musculus","SRR689241","SRS392204","GSM1080203","4-cell blastomere","<not provided>","4-cell blastomere","C57BL/6","<not provided>","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
"RNA-Seq","SAMN01915424","SRX229793","cDNA","TRANSCRIPTOMIC","2015-09-04",3976,2893,"Mus musculus","SRR689242","SRS392205","GSM1080204","4-cell blastomere","<not provided>","4-cell blastomere","C57BL/6","<not provided>","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
"RNA-Seq","SAMN01915425","SRX229794","cDNA","TRANSCRIPTOMIC","2015-09-04",4764,3490,"Mus musculus","SRR689243","SRS392206","GSM1080205","4-cell blastomere","<not provided>","4-cell blastomere","C57BL/6","<not provided>","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
