Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1364541,2014-06-11,2014-06-09,3277009,819252250,3277009,250,517,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1364541,SRX582549,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP027537,PRJNA212439,2,212439,SRS631055,SAMN02848438,simple,10090,Mus musculus,GSM1406995,,,,,,,no,,,,,GEO,SRA093588,,public,5F8C2D7D4140AF26002058B01F02023B,AF28A61AB46B905662DA27DE2F1BB3B2
SRR1364542,2014-06-11,2014-06-09,2980997,745249250,2980997,250,471,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1364542,SRX582550,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP027537,PRJNA212439,2,212439,SRS631057,SAMN02848433,simple,10090,Mus musculus,GSM1406996,,,,,,,no,,,,,GEO,SRA093588,,public,B8C9923DCD4C0DB9BA8734DA4A7350AD,9E7A3121FDFD53C04B3DEBEF06321610
SRR1364543,2014-06-11,2014-06-09,1292037,323009250,1292037,250,203,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1364543,SRX582551,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP027537,PRJNA212439,2,212439,SRS631056,SAMN02848424,simple,10090,Mus musculus,GSM1406997,,,,,,,no,,,,,GEO,SRA093588,,public,1778E482CE20FC980086BFB7E8D77E62,97597D0F84BDCEC863850E4E790241E3
SRR1364544,2014-06-11,2014-06-09,2579665,644916250,2579665,250,410,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1364544,SRX582552,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP027537,PRJNA212439,2,212439,SRS631058,SAMN02848441,simple,10090,Mus musculus,GSM1406998,,,,,,,no,,,,,GEO,SRA093588,,public,DE1875C6A8D801026554FC76D952CE87,C959938A11EDAAED1E54143C1FBD110F
SRR1364545,2014-06-11,2014-06-09,2142563,535640750,2142563,250,336,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1364545,SRX582553,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP027537,PRJNA212439,2,212439,SRS631059,SAMN02848439,simple,10090,Mus musculus,GSM1406999,,,,,,,no,,,,,GEO,SRA093588,,public,1D7CFFA6CF824993124DBDBEE490EC91,F091D1A43CB6B64FDF0B3EA0D83C7A9D
SRR1364546,2014-06-11,2014-06-09,2179536,544884000,2179536,250,348,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1364546,SRX582554,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP027537,PRJNA212439,2,212439,SRS631060,SAMN02848427,simple,10090,Mus musculus,GSM1407000,,,,,,,no,,,,,GEO,SRA093588,,public,1D0372CC39F142B4C39CD4842491B99F,D78ACBBEAB1346793E9E6D427E2EE1F2
SRR1364547,2014-06-11,2014-06-09,2082667,520666750,2082667,250,331,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1364547,SRX582555,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP027537,PRJNA212439,2,212439,SRS631061,SAMN02848442,simple,10090,Mus musculus,GSM1407001,,,,,,,no,,,,,GEO,SRA093588,,public,1AB9E5DCE1E0B2BEE236E4120DE21E66,D48D3AA1A31C4F80B370BC2FA6F3BA5C
SRR1364548,2014-06-11,2014-06-09,3451655,862913750,3451655,250,549,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1364548,SRX582556,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP027537,PRJNA212439,2,212439,SRS631062,SAMN02848446,simple,10090,Mus musculus,GSM1407002,,,,,,,no,,,,,GEO,SRA093588,,public,22F597B986C2671028A07319064EA3DA,9D1F063B2C995E7678F005D798028AA3
SRR1364549,2014-06-11,2014-06-09,2755508,688877000,2755508,250,439,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1364549,SRX582557,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP027537,PRJNA212439,2,212439,SRS631063,SAMN02848430,simple,10090,Mus musculus,GSM1407003,,,,,,,no,,,,,GEO,SRA093588,,public,532B49FD758DEFB608181EA127C47555,92223DE75C04E49484506C5F2AA801D3
SRR1364550,2014-06-11,2014-06-09,2055406,513851500,2055406,250,326,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1364550,SRX582558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP027537,PRJNA212439,2,212439,SRS631065,SAMN02848443,simple,10090,Mus musculus,GSM1407004,,,,,,,no,,,,,GEO,SRA093588,,public,D0AD07BFC62916353D44E7CF510652C7,3C5FA31E344B940BC6B320C6B9F1F667
