Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1557527,2014-12-04,2014-08-26,1425729,71286450,1425729,50,46,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557527,SRX686317,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689137,SAMN03008289,simple,10090,Mus musculus,GSM1486900,,,,,,,no,,,,,GEO,SRA180309,,public,8FA5C3F97F0D4479137401BBFCAEE608,FD9B133142F62C843AB84C42A226504A
SRR1557528,2014-12-04,2014-08-26,1911890,95594500,1911890,50,62,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557528,SRX686318,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689139,SAMN03008291,simple,10090,Mus musculus,GSM1486901,,,,,,,no,,,,,GEO,SRA180309,,public,AFAA244ADC1C0D24F4EF1A2AB7EB0F0D,17E7D9D6933C970345CB0088C95DE3DB
SRR1557529,2014-12-04,2014-08-26,1817918,90895900,1817918,50,59,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557529,SRX686319,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689138,SAMN03008292,simple,10090,Mus musculus,GSM1486902,,,,,,,no,,,,,GEO,SRA180309,,public,FD02879EDFD5E207F8AE369872374B94,CB2614A2CBAA9AD3D12B5E165966C74B
SRR1557530,2014-12-04,2014-08-26,1683107,84155350,1683107,50,54,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557530,SRX686320,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689140,SAMN03008294,simple,10090,Mus musculus,GSM1486903,,,,,,,no,,,,,GEO,SRA180309,,public,8A53BA2EC36CECA201440C60869749B4,CADF27956C58ADB4847FB3BAC417B573
SRR1557531,2014-12-04,2014-08-26,2026957,101347850,2026957,50,65,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557531,SRX686321,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689141,SAMN03008295,simple,10090,Mus musculus,GSM1486904,,,,,,,no,,,,,GEO,SRA180309,,public,BFCFB4994399441DDCF5A720561C53B2,83B46629DF49228FD2CBEDD3AE85DA02
SRR1557532,2014-12-04,2014-08-26,2074724,103736200,2074724,50,67,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557532,SRX686322,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689142,SAMN03008297,simple,10090,Mus musculus,GSM1486905,,,,,,,no,,,,,GEO,SRA180309,,public,B42FF0ABC973CF5D4F468B2BEA634F84,BDFBC5F31A63256C6B5306425701E95D
SRR1557533,2014-12-04,2014-08-26,2147927,107396350,2147927,50,69,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557533,SRX686323,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689143,SAMN03008298,simple,10090,Mus musculus,GSM1486906,,,,,,,no,,,,,GEO,SRA180309,,public,078E3888830C7A3E3AC9FD571DFB70FF,E1B3CE25F3A00B75BBB1B3FDEEAB6050
SRR1557534,2014-12-04,2014-08-26,1745121,87256050,1745121,50,56,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557534,SRX686324,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689144,SAMN03008300,simple,10090,Mus musculus,GSM1486907,,,,,,,no,,,,,GEO,SRA180309,,public,6E3341426E6A855AABE2BE79B64AEF4C,5ED5FE65BCC014C591F5E8031C39B440
SRR1557535,2014-12-04,2014-08-26,1554631,77731550,1554631,50,50,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557535,SRX686325,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689145,SAMN03008301,simple,10090,Mus musculus,GSM1486908,,,,,,,no,,,,,GEO,SRA180309,,public,47ABF449A73B2731194375E1E46B22AD,4B595910E8D364F5B1A5492843B40391
SRR1557536,2014-12-04,2014-08-26,1423588,71179400,1423588,50,46,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557536,SRX686326,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689146,SAMN03008303,simple,10090,Mus musculus,GSM1486909,,,,,,,no,,,,,GEO,SRA180309,,public,39420FAAFB37F4EC64074BF7AFB0F5A5,2C461C0A98044A44C44B0AD4C2D2C21B
SRR1557537,2014-12-04,2014-08-26,1948659,97432950,1948659,50,62,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557537,SRX686327,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689147,SAMN03008304,simple,10090,Mus musculus,GSM1486910,,,,,,,no,,,,,GEO,SRA180309,,public,7830B118AC74E9D776EABCF5E9B45DCB,2865340E9733BB110116B3F93B89A3E9
SRR1557538,2014-12-04,2014-08-26,2002968,100148400,2002968,50,66,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557538,SRX686328,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689148,SAMN03008307,simple,10090,Mus musculus,GSM1486911,,,,,,,no,,,,,GEO,SRA180309,,public,39E793A16C0729FC558EDADD8C0967E2,DFF9C341FA351D47C3614C0E7DE83DE7
SRR1557539,2014-12-04,2014-08-26,1901194,95059700,1901194,50,62,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557539,SRX686329,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689149,SAMN03008308,simple,10090,Mus musculus,GSM1486912,,,,,,,no,,,,,GEO,SRA180309,,public,06EC5B1C78174F2A8AF6A1A1F0DA8A27,C1A22A870C50BDEEB363915ECA38BCBD
SRR1557540,2014-12-04,2014-08-26,1988624,99431200,1988624,50,65,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557540,SRX686330,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689150,SAMN03008342,simple,10090,Mus musculus,GSM1486913,,,,,,,no,,,,,GEO,SRA180309,,public,AAF8D99554120F7CCBB6AEF3E6614FB7,66E224FCC85ED0E46A56721E137E0DD1
SRR1557541,2014-12-04,2014-08-26,1766405,88320250,1766405,50,58,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557541,SRX686331,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689151,SAMN03008343,simple,10090,Mus musculus,GSM1486914,,,,,,,no,,,,,GEO,SRA180309,,public,AD9C83231BD2737B3C8019FC4754491E,AF45D27334E211A44E956FFDC2CC9243
SRR1557542,2014-12-04,2014-08-26,1667633,83381650,1667633,50,55,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557542,SRX686332,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689152,SAMN03008345,simple,10090,Mus musculus,GSM1486915,,,,,,,no,,,,,GEO,SRA180309,,public,78C982D0481C0E0BE8199E19F73DC2CD,68A3F7A2861CD06E62B9A8B3BB34A863
SRR1557543,2014-12-04,2014-08-26,1443410,72170500,1443410,50,47,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557543,SRX686333,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689153,SAMN03008346,simple,10090,Mus musculus,GSM1486916,,,,,,,no,,,,,GEO,SRA180309,,public,5EE0D60A2CEF8F6A646B090F5B453B11,A4A45D8FC921563FDD95383ECE360067
SRR1557544,2014-12-04,2014-08-26,1626808,81340400,1626808,50,54,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557544,SRX686334,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689154,SAMN03008348,simple,10090,Mus musculus,GSM1486917,,,,,,,no,,,,,GEO,SRA180309,,public,9056771340B5C988C0935D79D08CC599,742D8E2A8C1E5365BD96B373307F0E0D
SRR1557545,2014-12-04,2014-08-26,1577280,78864000,1577280,50,52,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557545,SRX686335,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689156,SAMN03008349,simple,10090,Mus musculus,GSM1486918,,,,,,,no,,,,,GEO,SRA180309,,public,9D9A601FD25DF83E8DE9C60B29377EB2,63B0E2FC755CE3CB70D6204FC1F4028F
SRR1557546,2014-12-04,2014-08-26,1674779,83738950,1674779,50,55,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557546,SRX686336,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689155,SAMN03008351,simple,10090,Mus musculus,GSM1486919,,,,,,,no,,,,,GEO,SRA180309,,public,03FCC340ACC93553FD84386C982BF81D,125B3FE61AACD67F26B1A7CBDD6ABEC5
SRR1557547,2014-12-04,2014-08-26,1628218,81410900,1628218,50,53,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1557547,SRX686337,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045775,PRJNA259420,2,259420,SRS689157,SAMN03008352,simple,10090,Mus musculus,GSM1486920,,,,,,,no,,,,,GEO,SRA180309,,public,0A1914519CF59E77B532C736461DE506,93D785E7593BA8772A11BF47ECB3FB9C
