Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR3937838,2017-11-02 00:01:43,2016-07-20 23:50:13,2332459,299587638,2332459,128,123,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/003845/SRR3937838,SRX1967130,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP079058,PRJNA330719,2,330719,SRS1576686,SAMN05425119,simple,9606,Homo sapiens,GSM2246978,,,,,,,no,,,,,GEO,SRA442702,,public,D267FB2442121B70DE587BADEA91E227,6EC06783DFE9FF108F9D454C6E397EA3
SRR3937839,2017-11-02 00:01:43,2016-07-20 23:50:21,2475824,317968197,2475824,128,129,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/003845/SRR3937839,SRX1967131,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP079058,PRJNA330719,2,330719,SRS1576687,SAMN05425120,simple,9606,Homo sapiens,GSM2246979,,,,,,,no,,,,,GEO,SRA442702,,public,2CBFE8860B15F370CA18436C71865816,6184604A1DAF46CE584CACB3EFFEBAED
SRR3937840,2017-11-02 00:01:43,2016-07-20 23:49:58,1941322,249314783,1941322,128,101,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/003845/SRR3937840,SRX1967132,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP079058,PRJNA330719,2,330719,SRS1576689,SAMN05425121,simple,9606,Homo sapiens,GSM2246980,,,,,,,no,,,,,GEO,SRA442702,,public,01DC9CDB92752642A3AA555A2D685F7D,F30A3C9541EEDB0E87D7DE68EEAA6689
SRR3937841,2017-11-02 00:01:43,2016-07-20 23:50:11,2197427,282274364,2197427,128,115,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/003845/SRR3937841,SRX1967133,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP079058,PRJNA330719,2,330719,SRS1576691,SAMN05425122,simple,9606,Homo sapiens,GSM2246981,,,,,,,no,,,,,GEO,SRA442702,,public,B92B50CBB9422DFACF62A70717624D5E,1263F0008B4EA015CA25D4A0E0B44D8A
SRR3937842,2017-11-02 00:01:43,2016-07-20 23:50:12,2389324,306842558,2389324,128,126,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/003845/SRR3937842,SRX1967134,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP079058,PRJNA330719,2,330719,SRS1576690,SAMN05425126,simple,9606,Homo sapiens,GSM2246982,,,,,,,no,,,,,GEO,SRA442702,,public,B5A4F863AFA644F685A4F85238A49C83,F8EEE36690DB53A0441162FE1FC361E4
SRR3937843,2017-11-02 00:01:43,2016-07-20 23:50:13,2585104,332066166,2585104,128,135,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/003845/SRR3937843,SRX1967135,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP079058,PRJNA330719,2,330719,SRS1576692,SAMN05425127,simple,9606,Homo sapiens,GSM2246983,,,,,,,no,,,,,GEO,SRA442702,,public,A8E0A03A17E8FD38C629D1F88AB5F514,FC11E711960C8AD2700291DFA61BF490
SRR3937844,2017-11-02 00:01:43,2016-07-20 23:50:02,2157782,277044797,2157782,128,113,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/003845/SRR3937844,SRX1967136,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP079058,PRJNA330719,2,330719,SRS1576695,SAMN05425128,simple,9606,Homo sapiens,GSM2246984,,,,,,,no,,,,,GEO,SRA442702,,public,EDB347E21110AC44D290ACC4E84ABE46,EACCCAD29253821E0FE27D434838189F
SRR3937845,2017-11-02 00:01:43,2016-07-20 23:50:06,1926698,247425944,1926698,128,101,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/003845/SRR3937845,SRX1967137,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP079058,PRJNA330719,2,330719,SRS1576693,SAMN05425123,simple,9606,Homo sapiens,GSM2246985,,,,,,,no,,,,,GEO,SRA442702,,public,80F9D9BFDB78E12F9F14938B0F7B6299,B1B7ED5F2444E2B46E2B82A72ADE701F
SRR3937846,2017-11-02 00:01:43,2016-07-20 23:49:06,2032,257866,2032,126,0,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/003845/SRR3937846,SRX1967138,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP079058,PRJNA330719,2,330719,SRS1576694,SAMN05425124,simple,9606,Homo sapiens,GSM2246986,,,,,,,no,,,,,GEO,SRA442702,,public,0721F6A72D91C7E0A4500EA1B712C836,3529DB238EDFFBB1835570E780D0E4A9
SRR3937847,2017-11-02 00:01:43,2016-07-20 23:49:49,1803036,231528179,1803036,128,93,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/003845/SRR3937847,SRX1967139,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP079058,PRJNA330719,2,330719,SRS1576700,SAMN05425125,simple,9606,Homo sapiens,GSM2246987,,,,,,,no,,,,,GEO,SRA442702,,public,BB2CC36E94BC0E0E00C7BB09AC176FFB,471C90EF3148037ADC6BDC4641588231
